,LST,flaeche,buildup,imprevious,DGM,NDVI
1,33.128481290000046,12.842172302450916,0.0,17.0,336.4485168457031,0.6113616228103638
4,34.09853435500003,140.64099434493232,1.0,42.0,336.52099609375,0.5419592261314392
7,33.93114632,81.01405469686131,0.0,27.0,358.7127685546875,0.5781839489936829
8,34.370077055,203.3118235897255,1.0,71.0,293.0945129394531,0.428473562002182
9,33.346095230000024,66.57434510932745,1.0,51.0,361.7227783203125,0.5713741183280945
16,32.27739431000002,27.935656795829622,0.0,32.0,331.9170227050781,0.6726534962654114
18,33.75350422500001,387.58308240419456,1.0,98.0,337.40850830078125,0.1379515379667282
25,37.67872041500003,376.01942586678496,1.0,74.0,303.17877197265625,0.4953490197658539
32,34.16642003000004,85.0065850693419,1.0,52.0,345.8365173339844,0.5240291953086853
34,34.82135064000003,253.477060054029,1.0,47.0,350.38653564453125,0.4775579869747162
36,37.149781820000015,174.4953547130821,1.0,99.0,285.5295104980469,0.3228494822978973
38,32.78212193000003,59.313460492878505,0.0,36.0,339.062255859375,0.5779259204864502
42,34.538129705000024,128.55692365343097,1.0,56.0,367.4117431640625,0.4531941711902618
47,35.28354290000003,39.05710399996564,0.0,4.0,325.9844970703125,0.6530027389526367
51,34.86568995500002,195.77632885692557,1.0,86.0,318.31402587890625,0.427455723285675
53,33.33660073000002,149.46352158779365,0.0,36.0,331.4715270996094,0.60831618309021
58,33.86857756500001,116.0745799944437,0.0,21.0,333.03399658203125,0.5639203786849976
59,36.43627014500002,141.23187435274468,1.0,48.0,296.48876953125,0.4961239695549011
65,34.88619807500002,106.15302509300504,0.0,25.0,296.0675048828125,0.5595576763153076
68,33.66511043000003,143.09110170401397,0.0,54.0,304.6425170898437,0.5582319498062134
80,31.323481895000047,63.484968558527406,0.0,13.0,333.0965270996094,0.6208391189575195
81,32.005092050000016,25.598674797726577,1.0,60.0,334.2272644042969,0.510988175868988
83,32.894821645000015,124.94527995522938,0.0,37.0,311.5217590332031,0.5548312664031982
86,33.090883070000054,145.1718599124479,0.0,11.0,333.8380126953125,0.5611633658409119
87,34.83483283000001,160.57774779991425,0.0,44.0,341.4667663574219,0.3454427123069763
90,31.603759535,28.657294548228048,0.0,12.0,294.1725158691406,0.5773512721061707
98,34.35403135000003,9.484050653522102,1.0,92.0,295.31451416015625,0.4034041464328766
100,30.935251790000017,35.748972856022206,0.0,15.0,287.7255249023437,0.6605871319770813
107,32.18833590000002,19.165754001405187,1.0,38.0,360.03125,0.6897081136703491
108,36.672968030000014,133.4365977932479,1.0,100.0,286.4032592773437,0.2644641399383545
109,31.535683970000026,55.81288454360848,1.0,42.0,331.2947692871094,0.583092451095581
111,36.27875639000005,66.24349380903608,0.0,27.0,283.623779296875,0.5543742179870605
114,31.581637350000047,67.67438900077293,1.0,61.0,312.8260192871094,0.627126932144165
121,35.60664073500001,79.44677259929827,1.0,56.0,299.239013671875,0.4144409596920013
132,33.43971100000003,16.077452254003283,0.0,33.0,344.73126220703125,0.4746638536453247
133,31.84472994500001,15.057821757420086,0.0,0.0,334.7482604980469,0.5970161557197571
142,33.599978160000056,59.6786780040989,0.0,14.0,302.3099975585937,0.6831233501434326
143,33.09458592499998,101.0246915995379,1.0,42.0,325.9192810058594,0.626813530921936
149,33.832023740000025,54.28470629501935,0.0,39.0,342.57928466796875,0.6043046712875366
155,29.741318415000027,58.21204439643636,0.0,16.0,351.8082580566406,0.583703339099884
164,33.996658370000034,13.452439902719131,1.0,59.0,307.27227783203125,0.2851133048534393
168,33.75027609500003,63.227089596855286,0.0,32.0,325.5247802734375,0.545997142791748
174,31.981735580000013,63.434605197712514,1.0,33.0,324.4114990234375,0.580025315284729
177,36.55248282500002,18.358570403623105,1.0,47.0,292.8492431640625,0.3698019981384277
182,34.64522766500001,61.53821050016168,0.0,48.0,344.29852294921875,0.5551695823669434
190,33.537789185,64.58546794824433,1.0,93.0,350.02325439453125,0.4748491644859314
197,32.521592850000005,197.5245464564672,1.0,90.0,318.23651123046875,0.4665057361125946
202,40.987363775000006,400.0,1.0,100.0,290.4727783203125,0.2322643250226974
208,30.68421721000005,72.28419140905694,0.0,33.0,350.4325256347656,0.5483607649803162
215,32.500704950000014,0.0708921000631615,0.0,0.0,344.0815124511719,0.7544189095497131
216,33.74011698,39.38121812467183,0.0,17.0,316.468505859375,0.6839607357978821
220,31.51204266500004,76.08973294448703,0.0,20.0,321.8125,0.6045448780059814
226,33.42869738,9.8957384004511,0.0,0.0,340.822021484375,0.4225172698497772
227,32.74110568999998,6.225714646660098,0.0,28.0,334.3997497558594,0.532377302646637
231,34.69564346000004,85.82558859906,1.0,63.0,297.37725830078125,0.5220908522605896
232,38.31561147500002,348.0377311412154,1.0,100.0,298.5732727050781,0.1836617738008499
236,36.062946405000034,196.0444751351792,1.0,86.0,285.9322509765625,0.4788070619106293
242,34.717575755000034,91.2928702402962,1.0,59.0,383.3027648925781,0.6131080389022827
246,34.89274928000002,134.58687800879915,1.0,32.0,342.9974975585937,0.3312534987926483
247,35.717061770000015,187.7333831585136,1.0,51.0,289.87176513671875,0.5376600623130798
249,35.29009410500001,72.69722840724154,1.0,89.0,285.99176025390625,0.4234702587127685
259,32.630589709999995,130.68560860725634,0.0,16.0,331.8062744140625,0.5221970081329346
266,32.29505408,37.71665065044809,0.0,61.0,321.90899658203125,0.5899845361709595
269,36.01414467500004,26.731294707716785,0.0,36.0,288.4945068359375,0.4123134911060333
272,34.80976735000003,162.68090649965265,0.0,71.0,350.86053466796875,0.4740105867385864
273,31.88289783500005,33.346745354298534,0.0,0.0,343.59503173828125,0.7042931914329529
287,37.27767273500004,219.54890518695595,1.0,47.0,290.8445129394531,0.3952295482158661
291,35.92214297000002,39.77475674798004,1.0,93.0,294.83502197265625,0.2991041839122772
292,31.039501400000027,4.130328199442069,0.0,35.0,326.68475341796875,0.638333261013031
293,34.59642593500005,14.317541697472183,1.0,100.0,288.7225036621094,0.2912243902683258
301,32.83491135000003,26.25691365410541,0.0,4.0,328.35601806640625,0.6889051198959351
307,35.04599051000001,36.33987129651889,0.0,21.0,301.5590209960937,0.572148323059082
310,34.74520475000001,142.17698891593034,0.0,24.0,321.58599853515625,0.4890555143356323
325,39.48618838000005,55.08039834909525,1.0,85.0,365.2407836914063,0.3504685461521148
327,36.72082031000001,91.90287299288742,0.0,23.0,283.5985107421875,0.4792808294296264
329,33.235104525000004,23.290111653481937,1.0,99.0,330.63775634765625,0.5566610097885132
330,35.462988950000025,136.6961269544484,1.0,45.0,320.4027709960937,0.575920581817627
338,31.831342700000008,50.697579302233095,0.0,0.0,332.0777587890625,0.6533803939819336
344,33.59342695499999,59.67423220042621,0.0,36.0,328.11474609375,0.5626454949378967
349,31.272781265000003,17.44816600240247,0.0,0.0,317.9800109863281,0.7460566759109497
350,31.104443780000015,209.03005479581523,1.0,97.0,335.6002502441406,0.5840778350830078
353,34.29915314000003,9.023246047694055,0.0,34.0,286.32177734375,0.5975948572158813
360,32.274356070000024,214.05252538846,0.0,15.0,294.832763671875,0.6040454506874084
363,34.307698190000025,77.07374499137619,0.0,45.0,358.6280212402344,0.2799604833126068
364,33.586590915,79.88533120845653,0.0,51.0,350.8945007324219,0.5841625332832336
367,33.81863649500003,18.83557699725884,0.0,25.0,291.8197631835937,0.5053706765174866
378,36.48697077500002,82.88328575074769,0.0,31.0,287.29052734375,0.6453215479850769
382,34.83492777500001,140.33612010760004,1.0,74.0,289.53826904296875,0.4737147092819214
384,34.57544309000001,123.9277924027668,0.0,20.0,340.218017578125,0.5459478497505188
386,33.264537475000004,22.083258497968316,0.0,19.0,290.4380187988281,0.668293297290802
387,38.44435689500001,279.1847816059884,1.0,88.0,288.9515075683594,0.3678447306156158
388,33.10113713000001,104.5926830116666,0.0,11.0,352.58453369140625,0.6627371311187744
389,32.893777250000014,84.53945219184345,1.0,50.0,362.0924987792969,0.5805520415306091
393,37.76227201500001,90.22941270590142,0.0,48.0,303.64324951171875,0.4675547182559967
399,35.092228725,113.6153296887305,0.0,27.0,366.68402099609375,0.4969420731067657
407,32.78572984000004,99.85386224990594,0.0,22.0,329.2762756347656,0.6107327938079834
417,35.930782965,392.9455961696203,1.0,97.0,287.8242492675781,0.2004221826791763
418,34.02058451000002,185.27850729613436,1.0,42.0,296.875,0.6315132975578308
423,38.29719214499998,279.165661005008,1.0,98.0,287.77978515625,0.5082336664199829
431,32.38021974500002,1.772736150821962,0.0,9.0,320.53302001953125,0.7044640183448792
437,31.08982225000001,112.14663970967251,0.0,14.0,328.6647644042969,0.7401031851768494
438,33.41246178500002,1.0755160011202247,0.0,60.0,338.5110168457031,0.3796075284481048
443,35.86118828000002,119.08809039695534,0.0,27.0,295.80224609375,0.5447962284088135
445,34.080399859999986,19.55083010143256,1.0,87.0,320.10650634765625,0.0219106078147888
